striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
V Kohli,ODI,296,15958,14675,15652,258,7010,1366,170,56.88,93.76,44.79,9.81
JE Root,Test,163,24286,13943,24242,277,16461,1500,46,50.34,57.52,67.9,6.38
AN Cook,Test,161,26618,12472,26562,277,19880,1445,11,45.03,46.95,74.84,5.48
KC Sangakkara,ODI,284,14663,11640,14315,258,7440,1122,77,45.12,81.31,51.97,8.38
RG Sharma,ODI,270,12532,11357,12300,232,6484,1069,351,48.95,92.33,52.72,11.54
SPD Smith,Test,122,20031,10763,19966,193,14222,1184,68,55.77,53.91,71.23,6.27
MS Dhoni,ODI,279,12090,10274,11820,217,5745,787,210,47.35,86.92,48.6,8.43
KS Williamson,Test,108,18236,9461,18198,175,13234,1061,28,54.06,51.99,72.72,5.98
AB de Villiers,ODI,213,9488,9435,9323,171,4043,825,200,55.18,101.2,43.37,10.99
V Kohli,Test,121,16655,9230,16608,201,11553,1028,30,45.92,55.58,69.56,6.37
TM Dilshan,ODI,259,10777,9212,10538,242,5368,1022,50,38.07,87.42,50.94,10.17
HM Amla,Test,121,18274,9146,18223,198,13475,1150,14,46.19,50.19,73.95,6.39
V Kohli,IPL,268,6942,9050,6752,238,2209,816,307,38.03,134.03,32.72,16.63
DA Warner,Test,112,12544,8786,12517,202,8301,1055,70,43.5,70.19,66.32,8.99
KC Sangakkara,Test,84,15666,8489,15629,144,11010,961,39,58.95,54.32,70.45,6.4
AB de Villiers,Test,105,14971,8182,14930,159,10652,944,63,51.46,54.8,71.35,6.74
MJ Clarke,Test,107,14605,8146,14571,167,10353,921,32,48.78,55.91,71.05,6.54
LRPL Taylor,ODI,209,10040,8126,9791,189,4919,674,133,42.99,82.99,50.24,8.24
KP Pietersen,Test,100,13130,8079,13082,167,8992,979,79,48.38,61.76,68.74,8.09
AD Mathews,Test,116,16743,8073,16711,189,12230,821,88,42.71,48.31,73.19,5.44
DPMD Jayawardene,ODI,264,10269,8069,9993,235,5114,743,52,34.34,80.75,51.18,7.96
HM Amla,ODI,174,9058,7834,8861,157,4265,796,49,49.9,88.41,48.13,9.54
Tamim Iqbal,ODI,215,9979,7648,9681,199,5551,841,96,38.43,79.0,57.34,9.68
LRPL Taylor,Test,109,12869,7597,12829,168,9017,929,53,45.22,59.22,70.29,7.65
GC Smith,Test,94,12515,7584,12489,156,8625,954,19,48.62,60.73,69.06,7.79
IR Bell,Test,114,15021,7416,14968,177,11201,889,38,41.9,49.55,74.83,6.19
JH Kallis,Test,89,14911,7405,14867,138,10816,824,59,53.66,49.81,72.75,5.94
JE Root,ODI,174,8536,7329,8415,149,3744,593,51,49.19,87.09,44.49,7.65
RG Sharma,IPL,271,5605,7269,5464,251,2054,659,318,28.96,133.03,37.59,17.88
BA Stokes,Test,119,12390,7216,12348,206,8872,828,136,35.03,58.44,71.85,7.81
CA Pujara,Test,100,16191,7160,16165,161,12409,858,16,44.47,44.29,76.76,5.41
KS Williamson,ODI,165,8864,7145,8749,146,4506,657,60,48.94,81.67,51.5,8.2
Azhar Ali,Test,97,17063,7142,17033,170,13023,697,23,42.01,41.93,76.46,4.23
