bowler,format,cluster,wickets,economy,average,dot_pct
JM Anderson,Test,2,705,2.77,25.54,78.76
SCJ Broad,Test,2,616,2.97,27.14,77.37
NM Lyon,Test,2,588,2.95,29.08,73.89
R Ashwin,Test,2,553,2.84,23.2,74.75
MA Starc,Test,2,449,3.43,25.57,73.86
DW Steyn,Test,2,439,3.2,22.01,76.13
HMRKB Herath,Test,2,416,2.78,26.28,73.51
TG Southee,Test,2,400,3.02,29.58,77.17
K Rabada,Test,2,351,3.3,21.35,75.46
RA Jadeja,Test,2,350,2.58,24.87,76.72
SL Malinga,ODI,2,343,5.33,26.97,55.23
TA Boult,Test,2,323,3.0,26.99,77.52
PJ Cummins,Test,2,321,2.88,21.64,76.78
MG Johnson,Test,2,320,3.32,27.79,74.8
M Morkel,Test,2,317,3.06,26.97,77.02
I Sharma,Test,2,312,3.1,32.16,74.98
JR Hazlewood,Test,2,301,2.77,23.73,78.63
KAJ Roach,Test,2,299,3.06,26.52,76.4
B Lee,ODI,2,281,4.64,21.85,61.12
Shakib Al Hasan,ODI,2,279,4.59,29.17,53.52
JM Anderson,ODI,2,268,4.96,27.32,60.68
N Wagner,Test,2,265,3.11,27.05,75.54
GP Swann,Test,2,264,2.99,28.95,73.87
Shahid Afridi,ODI,4,259,4.66,30.69,49.98
MA Starc,ODI,4,253,5.25,22.38,59.0
M Muralitharan,Test,2,252,2.78,22.03,74.48
Yasir Shah,Test,2,252,3.22,30.38,71.03
BA Stokes,Test,2,249,3.3,30.74,73.43
Taijul Islam,Test,2,249,3.05,30.27,72.46
AU Rashid,ODI,4,244,5.61,30.05,45.26
RA Jadeja,ODI,4,244,4.89,34.28,50.05
MG Johnson,ODI,4,243,4.81,23.83,59.7
Harbhajan Singh,Test,2,240,2.9,35.06,72.23
JJ Bumrah,Test,2,239,2.74,19.38,77.98
YS Chahal,IPL,4,238,8.01,22.34,34.09
Shakib Al Hasan,Test,2,236,3.02,31.2,72.24
M Ntini,Test,2,234,3.3,27.97,75.55
Mohammed Shami,Test,2,233,3.3,27.24,75.02
B Kumar,IPL,4,231,7.67,24.72,43.48
TG Southee,ODI,4,230,5.57,31.07,56.0
Mashrafe Mortaza,ODI,4,227,5.06,31.86,56.82
Z Khan,Test,2,226,3.21,30.6,74.94
VD Philander,Test,2,226,2.61,22.09,79.68
PM Siddle,Test,2,226,2.91,29.99,78.34
KA Maharaj,Test,2,224,3.1,28.44,73.92
SP Narine,IPL,4,223,6.79,23.07,39.64
TA Boult,ODI,4,219,5.05,23.17,59.68
Mohammed Shami,ODI,4,215,5.58,22.63,57.49
KMDN Kulasekara,ODI,4,213,4.94,31.06,60.07
Z Khan,ODI,4,213,4.97,25.82,58.68
DW Steyn,ODI,4,212,4.86,23.77,60.84
Mehedi Hasan Miraz,Test,2,212,3.12,31.57,71.14
M Muralitharan,ODI,4,209,4.08,21.91,56.47
MM Ali,Test,2,209,3.62,36.42,69.27
DL Vettori,ODI,4,208,3.97,25.26,56.46
JJ Bumrah,IPL,4,207,7.27,21.2,41.67
