bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
JM Anderson,Test,181,39053,18880,705,30757,61,52,6508.8,2.9,26.78,78.76,55.39
SCJ Broad,Test,166,33811,17575,616,26158,85,115,5635.2,3.12,28.53,77.37,54.89
NM Lyon,Test,140,34836,17625,588,25739,1,3,5806.0,3.04,29.97,73.89,59.24
R Ashwin,Test,105,27137,13302,553,20284,3,10,4522.8,2.94,24.05,74.75,49.07
MA Starc,Test,105,20087,12096,449,14837,67,74,3347.8,3.61,26.94,73.86,44.74
DW Steyn,Test,90,18104,10080,439,13782,68,97,3017.3,3.34,22.96,76.13,41.24
HMRKB Herath,Test,82,23557,11167,416,17317,6,9,3926.2,2.84,26.84,73.51,56.63
TG Southee,Test,107,23507,12210,400,18141,50,17,3917.8,3.12,30.52,77.17,58.77
K Rabada,Test,72,13639,7851,351,10292,46,203,2273.2,3.45,22.37,75.46,38.86
RA Jadeja,Test,87,20263,8996,350,15546,1,99,3377.2,2.66,25.7,76.72,57.89
SL Malinga,ODI,208,10408,9518,343,5748,395,72,1734.7,5.49,27.75,55.23,30.34
TA Boult,Test,78,17436,9145,323,13516,55,19,2906.0,3.15,28.31,77.52,53.98
PJ Cummins,Test,72,14458,7261,321,11101,51,67,2409.7,3.01,22.62,76.78,45.04
MG Johnson,Test,73,16089,9331,320,12035,90,87,2681.5,3.48,29.16,74.8,50.28
M Morkel,Test,86,16755,8965,317,12905,81,256,2792.5,3.21,28.28,77.02,52.85
I Sharma,Test,104,19402,10449,312,14548,59,314,3233.7,3.23,33.49,74.98,62.19
JR Hazlewood,Test,76,15463,7423,301,12158,13,40,2577.2,2.88,24.66,78.63,51.37
KAJ Roach,Test,86,15536,8226,299,11869,48,200,2589.3,3.18,27.51,76.4,51.96
B Lee,ODI,151,7934,6347,281,4850,228,207,1322.3,4.8,22.59,61.13,28.23
Shakib Al Hasan,ODI,205,10636,8249,279,5692,118,4,1772.7,4.65,29.57,53.52,38.12
JM Anderson,ODI,177,8853,7562,268,5372,313,10,1475.5,5.13,28.22,60.68,33.03
N Wagner,Test,64,13810,7331,265,10432,50,85,2301.7,3.19,27.66,75.54,52.11
GP Swann,Test,60,15349,7921,264,11339,1,0,2558.2,3.1,30.0,73.87,58.14
Shahid Afridi,ODI,200,10247,8118,259,5121,186,19,1707.8,4.75,31.34,49.98,39.56
MA Starc,ODI,126,6469,5829,253,3817,297,17,1078.2,5.41,23.04,59.0,25.57
M Muralitharan,Test,38,11986,5815,252,8927,0,44,1997.7,2.91,23.08,74.48,47.56
Yasir Shah,Test,48,14262,7807,252,10131,0,7,2377.0,3.28,30.98,71.03,56.6
BA Stokes,Test,106,13938,7907,249,10235,69,171,2323.0,3.4,31.76,73.43,55.98
Taijul Islam,Test,55,14847,7684,249,10758,0,11,2474.5,3.11,30.86,72.46,59.63
RA Jadeja,ODI,199,10257,8470,244,5134,73,21,1709.5,4.95,34.71,50.05,42.04
AU Rashid,ODI,151,7843,7407,244,3550,107,4,1307.2,5.67,30.36,45.26,32.14
MG Johnson,ODI,144,7215,5977,243,4307,322,28,1202.5,4.97,24.6,59.7,29.69
Harbhajan Singh,Test,61,17408,8739,240,12573,6,9,2901.3,3.01,36.41,72.23,72.53
JJ Bumrah,Test,52,10146,4934,239,7912,21,115,1691.0,2.92,20.64,77.98,42.45
YS Chahal,IPL,180,3959,5368,237,1353,115,12,659.8,8.14,22.65,34.18,16.7
Shakib Al Hasan,Test,67,14605,7541,236,10550,4,12,2434.2,3.1,31.95,72.24,61.89
M Ntini,Test,57,11897,6809,234,8988,24,61,1982.8,3.43,29.1,75.55,50.84
Mohammed Shami,Test,64,11547,6684,233,8663,39,32,1924.5,3.47,28.69,75.02,49.56
B Kumar,IPL,199,4445,5808,231,1935,151,13,740.8,7.84,25.14,43.53,19.24
TG Southee,ODI,150,7700,7284,230,4312,217,10,1283.3,5.68,31.67,56.0,33.48
Mashrafe Mortaza,ODI,175,8583,7441,227,4877,173,44,1430.5,5.2,32.78,56.82,37.81
VD Philander,Test,64,11475,5151,226,9143,19,84,1912.5,2.69,22.79,79.68,50.77
Z Khan,Test,60,12912,7216,226,9676,48,198,2152.0,3.35,31.93,74.94,57.13
