bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
R Ashwin,497,39482,25244.0,996,25631,316,21,6580.3,3.84,25.35,64.92,39.64
JM Anderson,377,48327,25881.0,993,36304,405,62,8054.5,3.21,26.06,75.12,48.67
SCJ Broad,337,40908,23436.0,879,30028,266,144,6818.0,3.44,26.66,73.4,46.54
MA Starc,348,29138,20630.0,866,19827,517,103,4856.3,4.25,23.82,68.05,33.65
TG Southee,433,35185,24457.0,862,24055,430,36,5864.2,4.17,28.37,68.37,40.82
RA Jadeja,587,36013,23986.0,836,22570,169,129,6002.2,4.0,28.69,62.67,43.08
DW Steyn,361,27640,18574.0,831,19155,384,129,4606.7,4.03,22.35,69.3,33.26
TA Boult,371,27600,19482.0,773,18903,407,34,4600.0,4.24,25.2,68.49,35.71
K Rabada,343,22768,17384.0,756,15050,409,269,3794.7,4.58,22.99,66.1,30.12
Shakib Al Hasan,466,29345,20384.0,735,17777,197,18,4890.8,4.17,27.73,60.58,39.93
SL Malinga,435,19033,17324.0,726,10419,632,268,3172.2,5.46,23.86,54.74,26.22
JJ Bumrah,383,20234,14635.0,726,13078,271,185,3372.3,4.34,20.16,64.63,27.87
MG Johnson,301,25211,17187.0,671,17201,508,130,4201.8,4.09,25.61,68.23,37.57
M Morkel,312,25088,16510.0,649,17515,381,326,4181.3,3.95,25.44,69.81,38.66
Mohammed Shami,322,20118,16033.0,634,13068,323,46,3353.0,4.78,25.29,64.96,31.73
PJ Cummins,291,21983,15013.0,623,14864,318,82,3663.8,4.1,24.1,67.62,35.29
Harbhajan Singh,392,29374,18887.0,619,18467,243,20,4895.7,3.86,30.51,62.87,47.45
NM Lyon,171,36493,18481.0,618,26574,17,4,6082.2,3.04,29.9,72.82,59.05
JR Hazlewood,272,22697,14075.0,594,16199,157,60,3782.8,3.72,23.7,71.37,38.21
DJ Bravo,412,16222,14924.0,576,8600,492,65,2703.7,5.52,25.91,53.01,28.16
Z Khan,303,22069,15590.0,575,14651,362,258,3678.2,4.24,27.11,66.39,38.38
B Kumar,425,15391,14355.0,547,8844,385,21,2565.2,5.6,26.24,57.46,28.14
I Sharma,312,25868,17346.0,545,17767,263,374,4311.3,4.02,31.83,68.68,47.46
M Muralitharan,240,20534,12134.0,542,13487,177,65,3422.3,3.55,22.39,65.68,37.89
Shaheen Shah Afridi,291,14113,12237.0,542,8728,302,80,2352.2,5.2,22.58,61.84,26.04
JO Holder,341,20522,15177.0,522,13216,339,115,3420.3,4.44,29.07,64.4,39.31
B Lee,255,19490,13523.0,520,13030,307,576,3248.3,4.16,26.01,66.85,37.48
HMRKB Herath,161,26925,13510.0,514,18991,35,10,4487.5,3.01,26.28,70.53,52.38
Kuldeep Yadav,286,12195,11124.0,478,6170,130,8,2032.5,5.47,23.27,50.59,25.51
AU Rashid,308,14716,13551.0,475,7117,154,7,2452.7,5.53,28.53,48.36,30.98
DL Vettori,275,24115,13126.0,472,16318,74,89,4019.2,3.27,27.81,67.67,51.09
Saeed Ajmal,215,18973,10840.0,467,12718,128,1,3162.2,3.43,23.21,67.03,40.63
UT Yadav,285,15734,13396.0,463,9743,275,39,2622.3,5.11,28.93,61.92,33.98
YS Chahal,328,9440,10974.0,462,3764,220,26,1573.3,6.98,23.75,39.87,20.43
Mustafizur Rahman,304,11421,10747.0,455,6173,325,39,1903.5,5.65,23.62,54.05,25.1
CR Woakes,231,17942,12253.0,452,12230,175,37,2990.3,4.1,27.11,68.16,39.69
Shahid Afridi,372,14633,12510.0,452,7042,257,37,2438.8,5.13,27.68,48.12,32.37
Imran Tahir,261,12537,10294.0,448,6673,120,34,2089.5,4.93,22.98,53.23,27.98
KAJ Roach,187,20184,11977.0,444,14560,184,245,3364.0,3.56,26.98,72.14,45.46
MM Ali,337,20591,15573.0,440,12105,73,20,3431.8,4.54,35.39,58.79,46.8
Umar Gul,232,15671,11573.0,436,10145,265,240,2611.8,4.43,26.54,64.74,35.94
SR Watson,372,14378,11585.0,428,8608,250,55,2396.3,4.83,27.07,59.87,33.59
Hasan Ali,244,11032,10088.0,425,6402,160,88,1838.7,5.49,23.74,58.03,25.96
GP Swann,170,19795,11280.0,422,13473,42,1,3299.2,3.42,26.73,68.06,46.91
SP Narine,328,11135,9838.0,417,5765,155,27,1855.8,5.3,23.59,51.77,26.7
Mohammad Amir,248,14012,10212.0,398,9161,267,63,2335.3,4.37,25.66,65.38,35.21
M Ntini,164,16755,10606.0,397,11906,112,83,2792.5,3.8,26.72,71.06,42.2
MJ Santner,313,14849,11454.0,397,8425,179,10,2474.8,4.63,28.85,56.74,37.4
Wahab Riaz,236,12124,10425.0,391,6937,330,219,2020.7,5.16,26.66,57.22,31.01
