bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Adekunle,"Achimota Senior Secondary School A Field, Accra",T20I,2,42,26,2,22,3.71,13.0,52.38
A Adekunle,"Achimota Senior Secondary School B Field, Accra",T20I,1,24,15,1,15,3.75,15.0,62.5
A Adekunle,Entebbe Cricket Oval,T20I,3,66,52,5,34,4.73,10.4,51.52
A Adekunle,"Gahanga B Ground, Rwanda",T20I,4,67,62,3,35,5.55,20.67,52.24
A Adekunle,"Gahanga International Cricket Stadium, Rwanda",T20I,3,54,33,1,33,3.67,33.0,61.11
A Adekunle,"Namibia Cricket Ground, Windhoek",T20I,1,18,10,1,12,3.33,10.0,66.67
A Adekunle,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,30,23,2,16,4.6,11.5,53.33
A Ahmadhel,Moara Vlasiei Cricket Ground,T20I,1,4,6,1,3,9.0,6.0,75.0
A Ahmadhel,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,1,6,15,0,1,15.0,15.0,16.67
A Aitken,Sportpark Maarschalkerweerd,T20I,1,24,19,0,7,4.75,19.0,29.17
A Aitken,VRA Ground,T20I,2,18,21,0,5,7.0,21.0,27.78
A Aitken-Drummond,"Kinrara Academy Oval, Kuala Lumpur",T20I,1,12,18,0,5,9.0,18.0,41.67
A Aitken-Drummond,La Manga Club Bottom Ground,T20I,1,16,4,3,13,1.5,1.33,81.25
A Aitken-Drummond,La Manga Club Top Ground,T20I,1,12,2,0,10,1.0,2.0,83.33
A Aitken-Drummond,Lochlands,T20I,1,7,8,0,3,6.86,8.0,42.86
A Aitken-Drummond,Sportpark Het Schootsveld,T20I,2,36,33,2,15,5.5,16.5,41.67
A Akhigbe,"Gahanga B Ground, Rwanda",T20I,5,96,95,6,53,5.94,15.83,55.21
A Akhigbe,"Gahanga International Cricket Stadium, Rwanda",T20I,5,95,53,5,68,3.35,10.6,71.58
A Akhigbe,"Namibia Cricket Ground, Windhoek",T20I,1,5,11,0,2,13.2,11.0,40.0
A Akhigbe,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,28,31,0,16,6.64,31.0,57.14
A Akurut,"Gahanga International Cricket Stadium, Rwanda",T20I,2,20,11,1,14,3.3,11.0,70.0
A Akurut,Gahanga International Cricket Stadium. Rwanda,T20I,1,24,6,2,19,1.5,3.0,79.17
A Alexander,Gelephu International Cricket Ground,T20I,1,22,19,3,12,5.18,6.33,54.55
A Alexander,Udayana Cricket Ground,T20I,7,78,86,6,40,6.62,14.33,51.28
A Alfonso,"Botswana Cricket Association Oval 1, Gaborone",T20I,1,24,15,1,16,3.75,15.0,66.67
A Amado,"Meersen, Gent",T20I,2,12,20,1,8,10.0,20.0,66.67
A Andrews,Marsa Sports Club,T20I,3,60,64,5,29,6.4,12.8,48.33
A Andriani,"Bayuemas Oval, Kuala Lumpur",T20I,1,18,13,1,11,4.33,13.0,61.11
A Andriani,"Royal Selangor Club, Kuala Lumpur",T20I,1,24,7,1,17,1.75,7.0,70.83
A Andriani,"Selangor Turf Club, Kuala Lumpur",T20I,1,18,17,2,12,5.67,8.5,66.67
A Andriani,Vanuatu Cricket Ground,T20I,2,48,29,5,29,3.62,5.8,60.42
A Andriani,Vanuatu Cricket Ground (Oval 2),T20I,1,24,2,4,22,0.5,0.5,91.67
A Andriani,"YSD-UKM Cricket Oval, Bangi",T20I,1,25,25,2,11,6.0,12.5,44.0
A Ashish Reddy,Barabati Stadium,IPL,1,19,32,1,3,10.11,32.0,15.79
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,IPL,2,18,21,1,6,7.0,21.0,33.33
A Ashish Reddy,Eden Gardens,IPL,1,12,15,1,4,7.5,15.0,33.33
A Ashish Reddy,M Chinnaswamy Stadium,IPL,4,47,86,2,17,10.98,43.0,36.17
A Ashish Reddy,"MA Chidambaram Stadium, Chepauk",IPL,2,17,31,1,4,10.94,31.0,23.53
A Ashish Reddy,"Rajiv Gandhi International Stadium, Uppal",IPL,8,114,172,10,35,9.05,17.2,30.7
A Ashish Reddy,Subrata Roy Sahara Stadium,IPL,1,24,32,2,6,8.0,16.0,25.0
A Ashish Reddy,Wankhede Stadium,IPL,1,13,11,1,8,5.08,11.0,61.54
A Ashok,Dubai International Cricket Stadium,T20I,1,24,28,2,9,7.0,14.0,37.5
A Ashok,"Kotambi Stadium, Vadodara",ODI,1,36,55,1,11,9.17,55.0,30.56
A Ashok,"McLean Park, Napier",ODI,1,1,2,0,0,12.0,2.0,0.0
A Ashok,"Saxton Oval, Nelson",ODI,1,60,63,1,23,6.3,63.0,38.33
A Ashokan,Kerava National Cricket Ground,T20I,2,48,59,3,15,7.38,19.67,31.25
A Ashokan,Marsa Sports Club,T20I,5,90,119,4,42,7.93,29.75,46.67
A Ashokan,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,2,36,51,1,15,8.5,51.0,41.67
A Ashokan,Pierre Werner Cricket Ground,T20I,1,18,36,0,5,12.0,36.0,27.78
A Ashokan,"Scott Page Field, Vinor",T20I,7,138,163,10,52,7.09,16.3,37.68
A Ashokan,Tikkurila Cricket Ground,T20I,1,12,13,0,6,6.5,13.0,50.0
A Athanaze,"Kensington Oval, Bridgetown, Barbados",ODI,1,7,7,0,2,6.0,7.0,28.57
A Athanaze,Pallekele International Cricket Stadium,ODI,1,18,12,1,10,4.0,12.0,55.56
A Athanaze,"Queen's Park Oval, Port of Spain, Trinidad",Test,2,30,17,0,14,3.4,17.0,46.67
A Athanaze,"Saxton Oval, Nelson",T20I,1,7,16,0,1,13.71,16.0,14.29
A Athanaze,"Shere Bangla National Stadium, Mirpur",ODI,2,103,52,4,72,3.03,13.0,69.9
A Athanaze,"Sir Vivian Richards Stadium, North Sound, Antigua",Test,1,30,9,0,22,1.8,9.0,73.33
A Athanaze,"Windsor Park, Roseau, Dominica",Test,1,96,54,1,62,3.38,54.0,64.58
A Augastin,"Achimota Senior Secondary School A Field, Accra",T20I,1,18,22,1,10,7.33,22.0,55.56
A Augastin,"Achimota Senior Secondary School B Field, Accra",T20I,2,36,10,3,34,1.67,3.33,94.44
A Augastin,Harare Sports Club,T20I,3,48,62,3,20,7.75,20.67,41.67
A Augastin,"TCA Oval, Blantyre",T20I,1,2,6,0,1,18.0,6.0,50.0
A Augastin,"Takashinga Sports Club, Highfield, Harare",T20I,1,24,15,2,12,3.75,7.5,50.0
