bowler,year,format,balls,runs_given,wickets,matches,dot_balls,economy,average,strike_rate
A Adekunle,2023,T20I,66,52,5,3,34,4.73,10.4,13.2
A Adekunle,2024,T20I,181,127,7,9,104,4.21,18.14,25.86
A Adekunle,2025,T20I,24,19,1,2,13,4.75,19.0,24.0
A Adekunle,2026,T20I,30,23,2,2,16,4.6,11.5,15.0
A Ahmadhel,2020,T20I,4,6,1,1,3,9.0,6.0,4.0
A Ahmadhel,2021,T20I,6,15,0,1,1,15.0,15.0,6.0
A Aitken,2018,T20I,42,40,0,3,12,5.71,40.0,42.0
A Aitken-Drummond,2019,T20I,43,41,2,3,18,5.72,20.5,21.5
A Aitken-Drummond,2021,T20I,28,6,3,2,23,1.29,2.0,9.33
A Aitken-Drummond,2022,T20I,12,18,0,1,5,9.0,18.0,12.0
A Akhigbe,2024,T20I,90,65,1,5,60,4.33,65.0,90.0
A Akhigbe,2025,T20I,106,94,10,6,63,5.32,9.4,10.6
A Akhigbe,2026,T20I,28,31,0,2,16,6.64,31.0,28.0
A Akurut,2024,T20I,44,17,3,3,33,2.32,5.67,14.67
A Alexander,2024,T20I,28,24,3,2,14,5.14,8.0,9.33
A Alexander,2025,T20I,72,81,6,6,38,6.75,13.5,12.0
A Alfonso,2026,T20I,24,15,1,1,16,3.75,15.0,24.0
A Amado,2022,T20I,12,20,1,2,8,10.0,20.0,12.0
A Andrews,2021,T20I,60,64,5,3,29,6.4,12.8,12.0
A Andriani,2023,T20I,72,31,9,3,51,2.58,3.44,8.0
A Andriani,2024,T20I,85,62,6,4,51,4.38,10.33,14.17
A Ashish Reddy,2012,IPL,165,238,11,9,56,8.65,21.64,15.0
A Ashish Reddy,2013,IPL,40,71,3,5,11,10.65,23.67,13.33
A Ashish Reddy,2015,IPL,36,51,4,4,10,8.5,12.75,9.0
A Ashish Reddy,2016,IPL,23,40,1,2,6,10.43,40.0,23.0
A Ashok,2023,ODI,61,65,1,2,23,6.39,65.0,61.0
A Ashok,2023,T20I,24,28,2,1,9,7.0,14.0,12.0
A Ashok,2026,ODI,36,55,1,1,11,9.17,55.0,36.0
A Ashokan,2020,T20I,18,36,0,1,5,12.0,36.0,18.0
A Ashokan,2021,T20I,54,81,2,4,19,9.0,40.5,27.0
A Ashokan,2022,T20I,222,286,12,11,82,7.73,23.83,18.5
A Ashokan,2023,T20I,48,38,4,2,29,4.75,9.5,12.0
A Athanaze,2023,ODI,7,7,0,1,2,6.0,7.0,7.0
A Athanaze,2023,Test,120,66,1,2,74,3.3,66.0,120.0
A Athanaze,2024,ODI,18,12,1,1,10,4.0,12.0,18.0
A Athanaze,2024,Test,36,14,0,2,24,2.33,14.0,36.0
A Athanaze,2025,ODI,103,52,4,2,72,3.03,13.0,25.75
A Athanaze,2025,T20I,7,16,0,1,1,13.71,16.0,7.0
A Augastin,2025,T20I,74,83,5,5,33,6.73,16.6,14.8
A Augastin,2026,T20I,54,32,4,3,44,3.56,8.0,13.5
A Awasthi,2025,T20I,24,75,1,2,3,18.75,75.0,24.0
A Badoni,2022,IPL,12,12,2,2,4,6.0,6.0,6.0
A Badoni,2023,IPL,1,0,0,1,1,0.0,0.0,1.0
A Badoni,2024,IPL,12,25,0,2,1,12.5,25.0,12.0
A Badoni,2025,IPL,10,13,2,2,3,7.8,6.5,5.0
A Badoni,2026,IPL,6,14,0,1,0,14.0,14.0,6.0
A Balbirnie,2014,ODI,24,31,1,1,10,7.75,31.0,24.0
A Beggs,2017,ODI,133,131,5,3,61,5.91,26.2,26.6
A Beresford-Peirse,2025,T20I,187,261,5,9,79,8.37,52.2,37.4
A Bester,2023,T20I,168,168,18,9,96,6.0,9.33,9.33
A Bhargava,2022,T20I,12,15,1,1,8,7.5,15.0,12.0
A Bhattarai,2014,T20I,18,13,2,1,10,4.33,6.5,9.0
A Bidari,2019,T20I,24,17,1,1,13,4.25,17.0,24.0
A Bierwisch,2020,T20I,67,36,7,4,56,3.22,5.14,9.57
A Bierwisch,2021,T20I,29,32,1,2,13,6.62,32.0,29.0
A Bishnoi,2021,T20I,102,152,5,7,49,8.94,30.4,20.4
A Bishnoi,2023,T20I,108,166,7,5,47,9.22,23.71,15.43
A Bohara,2019,T20I,324,356,20,16,122,6.59,17.8,16.2
A Bohara,2020,ODI,66,51,1,2,43,4.64,51.0,66.0
A Bohara,2020,T20I,48,50,3,2,23,6.25,16.67,16.0
A Bohara,2021,T20I,74,103,2,4,28,8.35,51.5,37.0
A Bohara,2022,T20I,240,278,22,12,93,6.95,12.64,10.91
A Bohara,2023,T20I,252,346,18,11,85,8.24,19.22,14.0
A Bohara,2024,T20I,233,351,12,12,59,9.04,29.25,19.42
A Bosch,2016,ODI,36,31,0,2,14,5.17,31.0,36.0
A Bosch,2019,T20I,24,18,2,2,13,4.5,9.0,12.0
A Bosch,2021,ODI,102,82,1,3,55,4.82,82.0,102.0
A Bosch,2021,T20I,36,44,3,3,10,7.33,14.67,12.0
A Bosch,2022,T20I,91,122,3,7,29,8.04,40.67,30.33
A Bosch,2022,Test,108,77,3,1,77,4.28,25.67,36.0
A Bosch,2024,ODI,18,21,0,2,3,7.0,21.0,18.0
A Bosch,2024,Test,25,30,0,1,16,7.2,30.0,25.0
A Brindle,2011,ODI,133,68,6,3,84,3.07,11.33,22.17
A Brindle,2011,T20I,42,31,3,2,23,4.43,10.33,14.0
A Brindle,2012,ODI,54,63,1,3,21,7.0,63.0,54.0
A Brindle,2012,T20I,192,174,13,11,85,5.44,13.38,14.77
A Brindle,2013,ODI,324,238,13,8,184,4.41,18.31,24.92
A Brindle,2013,T20I,30,24,0,2,13,4.8,24.0,30.0
A Brindle,2013,Test,42,42,0,1,27,6.0,42.0,42.0
A Brindle,2014,ODI,90,80,0,3,44,5.33,80.0,90.0
A Brindle,2014,T20I,36,28,2,2,12,4.67,14.0,18.0
A Brown-Carrera,2022,T20I,50,31,5,2,34,3.72,6.2,10.0
A Brown-Carrera,2024,T20I,80,61,5,4,56,4.57,12.2,16.0
A Brown-Carrera,2025,T20I,60,66,2,4,30,6.6,33.0,30.0
A Bushell,2026,T20I,6,7,0,1,2,7.0,7.0,6.0
A Busing-Volschenk,2025,T20I,42,55,4,2,17,7.86,13.75,10.5
A Canning,2021,T20I,175,109,7,9,123,3.74,15.57,25.0
A Canning,2022,T20I,48,54,1,3,23,6.75,54.0,48.0
A Canning,2023,ODI,277,206,6,7,171,4.46,34.33,46.17
A Canning,2023,T20I,114,111,3,7,55,5.84,37.0,38.0
A Canning,2024,ODI,240,115,5,6,178,2.88,23.0,48.0
A Canning,2024,T20I,238,246,6,14,124,6.2,41.0,39.67
A Canning,2025,ODI,334,314,5,8,185,5.64,62.8,66.8
A Canning,2025,T20I,202,202,9,10,105,6.0,22.44,22.44
A Canning,2026,T20I,13,11,2,1,7,5.08,5.5,6.5
A Capsey,2022,T20I,36,54,1,6,12,9.0,54.0,36.0
A Capsey,2023,ODI,102,69,2,4,55,4.06,34.5,51.0
A Capsey,2023,T20I,66,64,2,4,29,5.82,32.0,33.0
A Capsey,2024,ODI,121,109,3,5,59,5.4,36.33,40.33
A Capsey,2024,T20I,12,4,2,1,9,2.0,2.0,6.0
A Capsey,2025,ODI,293,241,12,10,144,4.94,20.08,24.42
A Capsey,2025,T20I,42,67,1,4,12,9.57,67.0,42.0
A Chandel,2022,T20I,93,77,3,4,45,4.97,25.67,31.0
A Chandel,2023,T20I,209,200,9,10,102,5.74,22.22,23.22
A Chandel,2024,T20I,188,123,14,9,121,3.93,8.79,13.43
A Chandel,2025,T20I,192,150,10,10,118,4.69,15.0,19.2
A Chandila,2012,IPL,84,87,5,4,40,6.21,17.4,16.8
A Chandila,2013,IPL,150,158,6,8,65,6.32,26.33,25.0
A Charles,2024,T20I,8,13,1,1,3,9.75,13.0,8.0
A Chaubey,2024,T20I,79,133,3,4,35,10.1,44.33,26.33
A Chaudhary,2023,T20I,31,50,0,3,10,9.68,50.0,31.0
A Chaudhary,2024,T20I,48,55,3,2,23,6.88,18.33,16.0
A Chenthamara,2025,T20I,126,148,12,7,61,7.05,12.33,10.5
A Chenthamara,2026,T20I,59,74,5,3,27,7.53,14.8,11.8
A Chilia,2019,T20I,60,53,1,3,31,5.3,53.0,60.0
A Choudhary,2017,IPL,102,144,5,5,42,8.47,28.8,20.4
A Codrington,2003,ODI,150,134,6,4,98,5.36,22.33,25.0
A Codrington,2007,ODI,31,35,0,1,14,6.77,35.0,31.0
A Conteh,2022,T20I,110,114,8,5,45,6.22,14.25,13.75
A Cossa,2018,T20I,32,33,2,2,16,6.19,16.5,16.0
A Cossa,2021,T20I,32,50,1,4,12,9.38,50.0,32.0
A Curavic,2025,T20I,6,11,1,1,3,11.0,11.0,6.0
A Dalzell,2022,ODI,24,15,0,1,13,3.75,15.0,24.0
A Dalzell,2023,ODI,49,44,1,1,27,5.39,44.0,49.0
A Dalzell,2023,T20I,42,28,3,2,28,4.0,9.33,14.0
A Dalzell,2024,ODI,138,133,3,4,83,5.78,44.33,46.0
A Dalzell,2024,T20I,138,148,5,8,66,6.43,29.6,27.6
A Dalzell,2025,ODI,109,106,4,3,61,5.83,26.5,27.25
A Dalzell,2025,T20I,71,72,4,4,41,6.08,18.0,17.75
A Dalzell,2026,T20I,102,135,4,5,54,7.94,33.75,25.5
A Dananjaya,2012,T20I,78,87,7,4,29,6.69,12.43,11.14
A Dananjaya,2013,T20I,6,12,0,1,2,12.0,12.0,6.0
A Dananjaya,2017,ODI,703,600,18,13,362,5.12,33.33,39.06
A Dananjaya,2017,T20I,94,134,1,4,24,8.55,134.0,94.0
A Dananjaya,2018,IPL,24,47,0,1,6,11.75,47.0,24.0
A Dananjaya,2018,ODI,679,619,26,14,354,5.47,23.81,26.12
A Dananjaya,2018,T20I,162,198,7,7,67,7.33,28.29,23.14
A Dananjaya,2018,Test,1014,666,27,5,680,3.94,24.67,37.56
A Dananjaya,2019,ODI,331,267,6,6,156,4.84,44.5,55.17
A Dananjaya,2019,T20I,138,196,9,6,41,8.52,21.78,15.33
A Dananjaya,2019,Test,372,169,7,1,268,2.73,24.14,53.14
A Dananjaya,2021,ODI,162,155,5,3,71,5.74,31.0,32.4
A Dananjaya,2021,T20I,187,291,6,9,67,9.34,48.5,31.17
A Dananjaya,2024,ODI,120,99,1,2,65,4.95,99.0,120.0
A Dananjaya,2024,T20I,12,19,0,1,1,9.5,19.0,12.0
A Das,2012,ODI,165,119,7,3,95,4.33,17.0,23.57
A Das,2012,T20I,116,108,6,6,52,5.59,18.0,19.33
A Das,2014,T20I,48,48,3,3,20,6.0,16.0,16.0
A Davidson-Soler,2024,T20I,73,58,3,4,47,4.77,19.33,24.33
A Davidson-Soler,2025,T20I,103,94,2,5,56,5.48,47.0,51.5
A Daxini,2023,T20I,10,24,0,2,1,14.4,24.0,10.0
A Dcosta,2022,T20I,125,138,11,7,69,6.62,12.55,11.36
A Dcosta,2024,T20I,68,78,2,3,33,6.88,39.0,34.0
A Dcosta,2025,T20I,265,208,17,12,145,4.71,12.24,15.59
A Dcosta,2026,T20I,74,80,4,3,30,6.49,20.0,18.5
A Denuwan,2022,T20I,38,51,1,3,9,8.05,51.0,38.0
A Dercksen,2023,T20I,25,40,0,2,9,9.6,40.0,25.0
A Dercksen,2024,ODI,121,110,6,4,62,5.45,18.33,20.17
A Dercksen,2024,T20I,110,131,7,11,50,7.15,18.71,15.71
A Dercksen,2024,Test,180,154,0,2,121,5.13,154.0,180.0
A Dercksen,2025,ODI,141,181,5,8,62,7.7,36.2,28.2
A Dercksen,2025,T20I,6,8,0,1,4,8.0,8.0,6.0
A Dercksen,2026,ODI,144,146,4,5,81,6.08,36.5,36.0
A Dercksen,2026,T20I,123,183,3,12,47,8.93,61.0,41.0
